"V1","dec1"
"37714","N"
"37819","Y"
"37854","Y"
"37857","N"
"37862","N"
"37864","Y"
"37868","N"
"37874","N"
"37880","N"
"37945","Y"
"38102","N"
"38137","N"
"38163","Y"
"38165","N"
"38175","N"
"38229","Y"
"38239","N"
"38250","N"
"38273","N"
"38299","N"
"38304","Y"
"38326","N"
"38332","N"
"38353","N"
"38367","Y"
"38373","Y"
"38432","N"
"38439","N"
"38445","Y"
"38483","N"
"38525","Y"
"38721","N"
"38749","Y"
"38778","N"
"38906","N"
"38983","N"
"39049","N"
"39099","N"
"39124","N"
"39176","N"
"39218","N"
"39324","N"
"39338","N"
"39372","N"
"39375","N"
"39405","Y"
"39444","N"
"39517","N"
"39585","N"
"39659","N"
"39705","Y"
"39726","N"
"39765","N"
"39832","N"
"39869","N"
"39904","N"
"39952","N"
"39989","N"
"40128","N"
"40146","N"
"40168","N"
"40205","N"
"40320","N"
"40472","Y"
"40572","Y"
"40606","N"
"40658","N"
"40935","N"
"40978","N"
"40979","N"
"40992","Y"
"41024","N"
"41025","N"
"41030","N"
"41033","N"
"41052","N"
"41058","N"
"41076","N"
"41080","N"
"41090","Y"
"41180","Y"
"41192","Y"
"41194","N"
"41293","N"
"41363","N"
"41387","N"
"41388","N"
"41469","Y"
"41571","Y"
"41586","N"
"41666","Y"
"41716","Y"
"41726","N"
"41773","Y"
"41774","N"
"41836","N"
"41845","N"
"41866","N"
"41878","Y"
"41964","Y"
"41976","N"
"41995","N"
"42004","N"
"42018","Y"
"42290","Y"
"42324","N"
"42338","Y"
"42357","N"
"42373","N"
"42376","Y"
"42414","N"
"42511","Y"
"42561","N"
"42607","N"
"42625","N"
"42712","N"
"42943","N"
"43034","N"
"43037","N"
"43062","N"
"43093","Y"
"43162","Y"
"43189","N"
"43192","Y"
"43207","N"
"43362","N"
"43433","Y"
"43465","Y"
"43531","N"
"43542","Y"
"43656","N"
"43658","N"
"43722","N"
"43836","N"
"43865","N"
"43888","N"
"43923","N"
"43924","N"
"44054","N"
"44156","N"
"44157","N"
"44186","Y"
"44331","N"
"44419","N"
"44434","Y"
"44493","N"
"44546","N"
"44814","Y"
"44820","Y"
"44869","N"
"44885","Y"
"44949","N"
"45009","Y"
"45101","N"
"45164","Y"
"45283","Y"
"45338","Y"
"45354","N"
"45457","Y"
"45491","N"
"45744","N"
"45839","N"
"45855","Y"
"45864","Y"
"45874","N"
"45948","N"
"45989","N"
"45999","N"
"46003","N"
"46036","N"
"46115","N"
"46134","N"
"46162","N"
"46203","N"
"46206","N"
"46235","Y"
"46263","Y"
"46366","N"
"46413","Y"
"46454","N"
"46605","N"
"46620","Y"
"46726","N"
"46776","Y"
"46950","N"
"47009","N"
"47072","N"
"47116","N"
"47189","N"
"47197","N"
"47198","N"
"47238","N"
"47260","N"
"47318","Y"
"47339","N"
"47343","N"
"47362","N"
"47403","N"
"47548","N"
"47614","N"
"47631","N"
"47717","N"
"47750","N"
"47799","Y"
"47820","N"
"47847","Y"
"47860","Y"
"47886","N"
"47903","Y"
"47938","Y"
"47946","N"
"47995","N"
"48029","Y"
"48180","N"
"48235","Y"
"48369","N"
"48377","N"
"48440","Y"
"48508","N"
"48545","N"
"48557","N"
"48597","N"
"48702","N"
"48926","Y"
"48929","N"
"48947","N"
"48991","Y"
"49003","N"
"49032","N"
"49056","N"
"49091","Y"
"49117","Y"
